host_id,host_about,ability,benevolence,integrity,trustworthiness,dataVersion
672510,"Hi!
I am a social worker at a private art college, and I love my work! When I'm not working I'm rock climbing, helping animals, exploring the city. At home I spend my time drawing and making things, reading, watching films, or playing with my cats.

I've been studying spanish for 4 years now, and have a small crush on Latin America:). I travel at least 2 times a year b/c I think it's important to remind myself that there is a world outside of my own, and I enjoy meeting new people and learning about other cultures. 

I feel lucky to be living in NYC, and do my best to take advantage of the arts, the culture, and anything that might be free:). 

I'm mostly a quiet person, but I'm also friendly and good-humored. I like to meet new people, I'm helpful, but I also give people their space.",0.465273969836,0.475882248388,1.043179598,0.661445272075,a
3803498,"I'm an entertainment lawyer and film/television producer. 

We look forward to hosting you and your family and friends.",0.44460095702,-1.05084182399,-0.448963839626,-0.351734902199,a
8758664,"I love to find homes where ""the outside comes in so beautifully."" My home over Lake Union in Seattle has a 180 degree view of water and is a healing space to live in. I am very active and love to ski, play golf, bike, walk, swim, and do yoga.  My favorite thing to do is to ski in fresh new powder snow, usually at Vail, Colorado, or Snowbird, Utah. My work enables me to work with leaders and teams in high tech organizations to focus on the talents of the individuals and create an environment where they can be at their best most of the time.

",0.842648409129,0.312243900339,0.280978279341,0.478623529603,a
4637665,"Lives in California, loves to travel",-0.994976204882,-1.43907844956,-0.852478676851,-1.09551111043,a
8402388,"I'm a responsible and easy going person, I will do my best to make you a comfortable stay and pleasant time in LA!",-0.0184406227835,0.0135415057283,0.0752982759237,0.0234663862895,a
35299387,"I am an architecture student who loves her city but also loves to get out of it and travel! I can't live without chocolate, spending my summers in Europe, and my studio. ",0.135585739112,0.291826897672,-0.162812839713,0.088199932357,a
790128,"Hey there, Evan & Mikaela, here.  We are a couple, both working in education.  Evan is in education technology and Mikaela is an English teacher.  We love cooking, traveling, dancing, raquet sports, outdoorsy adventures, side-splitting laughter.",0.14557683872,0.427198916732,0.446530321976,0.339768692476,a
25546692,"I love life, people & my family. I've been told that a few of my gifts are compassion &  hospitality. I enjoy cooking, I get fulfillment out of entertaining & helping others feel comfortable & welcome. I enjoy traveling & exploring how other cultures do life. The attributes in life I appreciate & strive for are love, joy, peace, forbearance, kindness, goodness, faithfulness, gentleness and self-control. We welcome you to visit our guesthouse Villa & hope to see you soon",0.41968698447,0.516762569247,0.440516678865,0.458988744194,a
9410871,"I am a restaurant manager in midtown manhattan. I am in the hospitality business and work a lot of hours and not home much. I have two bedroom apartment on the upper east side and I am  trying to rent out the second bedroom for some extra income. I am a nice, easy going host who is very accommodating, helpful and knowledgeable.",-0.0533903474543,-0.0897574167828,0.157472048787,0.00477476151663,a
9604527,"I spend a lot of time working, but that's mostly because I'm blessed to have a really cool job. I am a motivational fitness trainer and diet expert, promoting the importance of healthy living to my clients. 

I reside on both the east coast and west coast, and often travel abroad. Discovering ""Air"" has given me the opportunity to not only rent out my apartments, but allow me to get to know so many wonderful people all over the world. 

""Championing bodybuilding, nutrition expert and personal trainer, Joseph has garnished his self in line with some of the world’s highest-performing fitness professionals. Motivation is his aligned focus and vision in the face of change that drives him farther up the ranks.""
- Flex Magazine 
",0.278347637824,0.0522433219031,0.35428971242,0.228293557382,a
